RuleID,DecisionType,TaskType,DataPattern,ChartType,Reason,Dataset,KeyColumns,EvaluationTask,Complexity,UserRole,TimeToInsight,RecommendationLevel,RecommendationReason,AlternativeChart,AlternativeReason,AvoidChart,AvoidReason,ResearchBacking
R1,Strategic,Revenue Trend Analysis,Time Series,Line Chart,Best for showing continuous trends over time,Superstore Sales,"Order Date, Sales",Identify the month with highest revenue,Low,Manager,Fast,BEST,Line charts reveal trend direction and momentum instantly for time series data,Bar Chart,Use when exact monthly value comparison matters more than trend,Pie Chart,Pie charts cannot show time progression,"Tufte 2001, Few 2009"
R2,Strategic,Regional Performance Comparison,Category Comparison,Bar Chart,Side-by-side comparison across regions,Superstore Sales,"Region, Sales",Which region had lowest sales in Q3?,Low,Manager,Fast,BEST,Bar charts enable instant visual comparison between discrete categories,Grouped Bar Chart,Use when comparing across multiple years simultaneously,Line Chart,Line charts imply continuity between regions which does not exist,"Few 2009, Munzner 2014"
R3,Strategic,Product Mix Revenue Share,Part-to-Whole,Treemap,Hierarchical view of category contributions,Superstore Sales,"Category, Sub-Category, Sales",Which sub-category contributed most to revenue?,Medium,Executive,Medium,BEST,Treemaps show hierarchical part-to-whole relationships with better space usage than pie,Pie Chart,Use only when fewer than 5 categories exist,Bar Chart,Bar charts do not show part-to-whole relationships clearly,"Munzner 2014, Kirk 2019"
R4,Strategic,Market Growth Rate,Time Series + Rate,Area Chart,Shows cumulative growth and volume simultaneously,Superstore Sales,"Order Date, Sales",In which quarter did growth exceed 20%?,Medium,Analyst,Medium,BEST,Area charts emphasize volume and cumulative magnitude better than line charts,Line Chart,Use when exact trend values matter more than volume,Bar Chart,Bar charts hide the cumulative growth story,"Tufte 2001, Ware 2012"
R5,Strategic,Profitability by Segment,Multi-Metric Comparison,Bubble Chart,Three dimensions encoded simultaneously,Superstore Sales,"Segment, Sales, Profit, Discount",Which segment is most profitable per sale?,High,Executive,Slow,BEST,Bubble charts encode 3 variables simultaneously — position and size,Scatter Plot,Use when size dimension is not critical,Bar Chart,Bar charts can only show 1-2 dimensions effectively,"Few 2009, Kirk 2019"
R6,Strategic,Year-over-Year Sales Comparison,Period Comparison,Grouped Bar Chart,Direct comparison of same period across years,Superstore Sales,"Year, Month, Sales",Which month showed biggest YoY growth?,Medium,Manager,Medium,BEST,Grouped bars make same-period cross-year comparison immediately visible,Line Chart,Use when trend continuity across years matters more,Stacked Bar,Stacked bars hide individual year values making comparison hard,"Tufte 2001, Few 2009"
R7,Strategic,Top Product Performance,Ranking,Horizontal Bar Chart,Rankings are clearest on horizontal axis with readable labels,Superstore Sales,"Sub-Category, Sales",Which top 5 sub-categories drove 80% of revenue?,Low,Manager,Fast,BEST,Horizontal bars allow long category labels and make ranking instantly scannable,Vertical Bar,Use only when fewer than 6 categories with short names,Pie Chart,Pie charts make ranking comparison very difficult,"Few 2009, Munzner 2014"
R8,Strategic,Customer Segment Distribution,Part-to-Whole,Donut Chart,Center space shows total while segments show proportion,Superstore Sales,"Segment, Sales",What share of sales came from Corporate vs Consumer?,Low,Executive,Fast,BEST,Donut charts improve on pie by using center space for key metric display,Pie Chart,Acceptable when no center metric is needed,Bar Chart,Bar charts do not convey part-to-whole relationship as intuitively,"Kirk 2019, Few 2006"
R9,Strategic,Discount Impact on Profit,Relationship,Scatter Plot with Trendline,Reveals correlation strength and direction with outliers,Superstore Sales,"Discount, Profit",Does higher discount consistently reduce profit?,Medium,Analyst,Medium,BEST,Scatter plots with trendline show correlation and individual data point outliers,Line Chart,Use only when data is ordered time series not scattered,Bar Chart,Bar charts cannot show relationships between two continuous variables,"Tufte 2001, Ware 2012"
R10,Strategic,Geographic Sales Distribution,Spatial,Choropleth Map,Spatial patterns visible instantly on geographic map,Superstore Sales,"State, Sales",Which states have highest sales concentration?,Low,Executive,Fast,BEST,Choropleth maps leverage spatial memory — users instantly recognize geographic patterns,Bar Chart,Use when exact state values matter more than geographic pattern,Pie Chart,Pie charts completely lose geographic context,"Ware 2012, Munzner 2014"
R11,Strategic,Shipping Mode Preference Trend,Category Proportion,Normalized Stacked Bar,100% normalization shows proportion change over time,Superstore Sales,"Ship Mode, Year",Is express shipping adoption growing year over year?,Low,Manager,Fast,BEST,Normalized stacked bars show proportional composition change across time periods,Line Chart,Use when absolute values matter more than proportions,Pie Chart,Separate pie charts per year make comparison very difficult,"Few 2009, Kirk 2019"
R12,Strategic,Competitive Positioning Overview,Multi-Metric Comparison,Radar Chart,Multiple KPIs compared across entities on single chart,Superstore Sales,"Region, Sales, Profit",Which region is strongest across all dimensions?,High,Executive,Slow,BEST,Radar charts show multi-dimensional performance profiles at a glance,Bar Chart,Use when comparing fewer than 4 dimensions,Line Chart,Line charts cannot show multi-dimensional comparison effectively,"Munzner 2014, Kirk 2019"
R13,Operational,Employee Attrition by Department,Comparison + Drill,Heatmap,Color intensity reveals patterns across two categorical dimensions,HR Attrition,"Department, JobRole, Attrition",Which department-role has highest attrition?,Medium,HR Manager,Medium,BEST,Heatmaps reveal patterns across two categorical dimensions simultaneously using color,Bar Chart,Use when exact attrition counts matter more than pattern,Pie Chart,Pie charts cannot show two-dimensional categorical patterns,"Ware 2012, Few 2009"
R14,Operational,Job Satisfaction Distribution,Distribution,Histogram,Shows frequency distribution shape skew and spread,HR Attrition,JobSatisfaction,What percentage score below 3 on satisfaction?,Low,HR Manager,Fast,BEST,Histograms reveal distribution shape — skew peak and spread — which tables hide completely,Bar Chart,Acceptable for discrete ordinal data with few categories,Line Chart,Line charts imply continuity in categorical satisfaction scores,"Tufte 2001, Munzner 2014"
R15,Operational,Attrition Rate KPI Monitor,Single Metric,KPI Card,Instant at-a-glance monitoring with delta comparison,HR Attrition,"Attrition, EmployeeCount",What is the current overall attrition rate?,Low,Executive,Fast,BEST,KPI cards deliver single critical metrics with maximum speed — no chart interpretation needed,Gauge Chart,Use when target threshold visualization is needed,Bar Chart,Bar charts add unnecessary complexity for single metric monitoring,"Few 2006, Kirk 2019"
R16,Operational,Overtime vs Attrition Impact,Binary Comparison,Stacked Bar Chart,Proportional composition within binary groups,HR Attrition,"OverTime, Attrition",Is overtime a major driver of attrition?,Low,HR Manager,Fast,BEST,Stacked bars show attrition proportion within overtime vs non-overtime groups clearly,Grouped Bar,Use when absolute counts matter more than proportions,Pie Chart,Separate pies make direct comparison between groups difficult,"Few 2009, Munzner 2014"
R17,Operational,Age Distribution by Department,Distribution,Box Plot,Shows median quartiles and outliers for each group,HR Attrition,"Department, Age",Which department has youngest average workforce?,Medium,HR Manager,Medium,BEST,Box plots show full distribution summary — median spread and outliers — in compact form,Bar Chart,Use only when mean comparison is sufficient,Histogram,Histograms cannot compare distributions across multiple groups efficiently,"Tufte 2001, Ware 2012"
R18,Operational,Salary Band Analysis,Distribution,Violin Plot,Full distribution shape with embedded box plot summary,HR Attrition,"JobLevel, MonthlyIncome",Is there a salary gap between job levels?,Medium,Analyst,Medium,BEST,Violin plots show full distribution shape revealing bimodal or skewed patterns box plots miss,Box Plot,Use when distribution shape is less important than quartiles,Bar Chart,Bar charts show only mean hiding salary distribution complexity,"Ware 2012, Few 2009"
R19,Operational,Performance Rating vs Salary,Relationship,Scatter Plot,Individual data points reveal compensation fairness patterns,HR Attrition,"PerformanceRating, MonthlyIncome",Are top performers compensated fairly?,Medium,HR Manager,Medium,BEST,Scatter plots reveal individual outliers — underpaid high performers instantly visible,Bar Chart,Use when group averages are sufficient,Line Chart,Line charts imply ordering in performance ratings which is misleading,"Tufte 2001, Kirk 2019"
R20,Operational,Work-Life Balance Score,Categorical Distribution,Funnel Chart,Shows progressive reduction across satisfaction levels,HR Attrition,WorkLifeBalance,How many employees rate work-life balance as poor?,Low,HR Manager,Fast,BEST,Funnel charts show drop-off between satisfaction levels revealing where employees cluster,Bar Chart,Acceptable for simple frequency comparison,Pie Chart,Pie charts do not convey the progressive nature of satisfaction levels,"Few 2006, Munzner 2014"
R21,Operational,Training Hours vs Performance,Relationship,Scatter Plot with Trendline,Trendline quantifies training ROI relationship,HR Attrition,"TrainingTimesLastYear, PerformanceRating",Does more training lead to higher performance?,Medium,Analyst,Medium,BEST,Scatter with trendline shows both individual variation and overall training-performance relationship,Bar Chart,Use when comparing average performance per training group,Line Chart,Line charts cannot show scattered individual employee data points,"Tufte 2001, Few 2009"
R22,Operational,Department Headcount Overview,Single Metric + Comparison,KPI Cards + Bar,Combined instant overview with detailed breakdown,HR Attrition,"Department, EmployeeCount, Attrition",Which department is most understaffed?,Medium,Manager,Medium,BEST,KPI cards give instant totals while bar chart provides department-level detail simultaneously,Table,Use when exact numbers are more important than visual comparison,Pie Chart,Pie charts make headcount comparison across departments less precise,"Few 2006, Kirk 2019"
R23,Operational,Employee Tenure Analysis,Distribution,Histogram,Reveals most common tenure before leaving,HR Attrition,YearsAtCompany,What is most common tenure before employees leave?,Low,HR Manager,Fast,BEST,Histograms reveal tenure distribution peaks showing when attrition risk is highest,Box Plot,Use when median and quartile comparison across groups is needed,Bar Chart,Bar charts on continuous tenure data lose distribution shape information,"Tufte 2001, Munzner 2014"
R24,Operational,Role-wise Satisfaction Comparison,Multi-Category,Grouped Bar Chart,Direct satisfaction comparison across all job roles,HR Attrition,"JobRole, JobSatisfaction",Which job role has lowest average satisfaction?,Low,HR Manager,Fast,BEST,Bar charts make direct comparison between many categories instantly scannable,Line Chart,Line charts imply trend between roles which does not exist,Radar Chart,Radar charts become cluttered with many job role categories,"Few 2009, Kirk 2019"
R25,Operational,Gender Pay Equity Analysis,Comparison,Box Plot by Group,Distribution comparison reveals pay gap evidence,HR Attrition,"Gender, MonthlyIncome, JobLevel",Is there a statistically visible income gap by gender?,High,HR Manager,Slow,BEST,Box plots by gender group reveal median differences and overlap showing pay equity clearly,Bar Chart,Use only when mean comparison is legally sufficient,Scatter Plot,Scatter plots without grouping hide the gender dimension,"Ware 2012, Tufte 2001"
R26,Operational,Absenteeism Pattern Detection,Time Pattern,Calendar Heatmap,Day and month patterns reveal absence seasonality,HR Attrition,"Month, Department",Which month has highest absenteeism?,Medium,HR Manager,Medium,BEST,Calendar heatmaps leverage time pattern recognition — seasonal absence instantly visible,Line Chart,Use when monthly trend over time matters more than day patterns,Bar Chart,Bar charts cannot show two-dimensional time patterns simultaneously,"Ware 2012, Few 2009"
R27,Financial,Budget vs Actual Variance,Variance Over Time,Waterfall Chart,Cumulative positive and negative variances shown step by step,Superstore Sales,"Month, Profit, ExpectedProfit",In which month did profit deviate most from budget?,Medium,Finance Manager,Medium,BEST,Waterfall charts show cumulative variance build-up — instantly shows where budget went wrong,Bar Chart,Use when monthly variance comparison matters more than cumulative effect,Line Chart,Line charts do not clearly show positive vs negative variance separation,"Few 2009, Munzner 2014"
R28,Financial,Profit Margin Trend,Ratio Over Time,Line Chart with Threshold,Trend line against target threshold shows performance gaps,Superstore Sales,"Month, ProfitMargin",When did profit margin fall below 10% threshold?,Medium,Finance Manager,Medium,BEST,Threshold line on trend chart immediately highlights when performance fell below target,Area Chart,Use when margin volume matters as much as trend,Bar Chart,Bar charts make threshold crossing less visually obvious,"Tufte 2001, Few 2006"
R29,Financial,Cost vs Revenue Breakdown,Part-to-Whole Comparison,Stacked Bar,Monthly cost and revenue components compared simultaneously,Superstore Sales,"Month, Sales, Discount, Profit",Which month had highest discount-to-revenue ratio?,Medium,Analyst,Medium,BEST,Stacked bars show both total and component breakdown across months simultaneously,Line Chart,Use when trend of individual components matters more than composition,Pie Chart,Separate pie charts per month make comparison very difficult,"Few 2009, Kirk 2019"
R30,Financial,Revenue Forecast,Predictive Trend,Line Chart with Confidence Band,Actual trend extended with uncertainty range shown,Superstore Sales,"Date, Sales, Forecast",What is projected Q4 revenue based on trend?,High,Executive,Slow,BEST,Confidence bands show forecast uncertainty — executives see both projection and risk range,Bar Chart,Use when showing only point forecast without uncertainty,Scatter Plot,Scatter plots cannot show time-ordered forecast progression clearly,"Tufte 2001, Munzner 2014"
R31,Financial,Category Profitability Ranking,Ranked Comparison,Horizontal Bar Chart,Profit ranking immediately scannable with readable labels,Superstore Sales,"Category, Profit",Which category has lowest profit margin?,Low,Manager,Fast,BEST,Horizontal bars make profit ranking instantly scannable — negative profit visible below zero line,Vertical Bar,Use only when fewer than 5 categories with short names,Pie Chart,Pie charts cannot show negative profit values,"Few 2009, Tufte 2001"
R32,Financial,Discount vs Revenue Loss,Relationship,Scatter Plot,Discount level vs profit loss relationship with outliers,Superstore Sales,"Discount, Sales, Profit",What discount level causes profit to turn negative?,Medium,Finance Manager,Medium,BEST,Scatter plots reveal the exact discount threshold where profit turns negative,Line Chart,Use when average profit per discount band is sufficient,Bar Chart,Bar charts group discount ranges hiding the continuous relationship,"Tufte 2001, Ware 2012"
R33,Financial,Quarterly Performance Summary,Multi-KPI,KPI Card Grid,Four financial KPIs on one screen for instant overview,Superstore Sales,"Sales, Profit, Orders, Discount",What is the overall financial health this quarter?,Low,Executive,Fast,BEST,KPI card grids deliver multiple critical metrics simultaneously with maximum speed,Table,Use when detailed row-level data is needed,Bar Chart,Bar charts add interpretation overhead for simple summary metrics,"Few 2006, Kirk 2019"
R34,Financial,Expense Category Breakdown,Part-to-Whole,Sunburst Chart,Hierarchical drill-down from total to sub-category expenses,Superstore Sales,"Category, Sub-Category, Discount",Which sub-category incurs most discount cost?,Medium,Finance Manager,Medium,BEST,Sunburst charts enable hierarchical expense drill-down in single compact visualization,Treemap,Very similar — use treemap when hierarchy depth exceeds 3 levels,Pie Chart,Pie charts cannot show hierarchical expense breakdown,"Munzner 2014, Kirk 2019"
R35,Financial,Sales Target Achievement,Progress,Gauge Chart,Actual vs target shown as intuitive dial reading,Superstore Sales,"Region, Sales, Target",Which region is furthest from hitting sales target?,Low,Manager,Fast,BEST,Gauge charts leverage speedometer mental model — target achievement instantly understood,Bar Chart,Use when comparing multiple regions simultaneously,KPI Card,KPI cards do not show target proximity as intuitively as gauges,"Few 2006, Kirk 2019"
R36,Financial,Return on Discount Investment,ROI Analysis,Line Chart with Threshold,ROI trend against break-even threshold reveals discount efficiency,Superstore Sales,"Discount, Sales, Profit",At what discount level does ROI drop below break-even?,High,Finance Manager,Slow,BEST,Break-even threshold line on ROI chart instantly shows discount efficiency boundary,Scatter Plot,Use when individual transaction ROI matters more than trend,Bar Chart,Bar charts make the continuous ROI-discount relationship less clear,"Tufte 2001, Few 2009"
R37,Cross-domain,Sales vs Profit Correlation,Numeric Relationship,Scatter Plot with Trendline,Overall correlation with category color encoding,Superstore Sales,"Sales, Profit, Category",Does higher sales always guarantee higher profit?,Medium,Analyst,Medium,BEST,Colored scatter with trendline shows both overall correlation and category-level patterns,Line Chart,Use only when data is time-ordered not scattered,Bar Chart,Bar charts cannot reveal the continuous relationship between sales and profit,"Tufte 2001, Ware 2012"
R38,Cross-domain,Attrition vs Satisfaction Correlation,Numeric Relationship,Scatter Plot + Color,Low satisfaction as attrition predictor with department color,HR Attrition,"JobSatisfaction, Attrition, Department",Does low satisfaction strongly predict attrition?,Medium,Analyst,Medium,BEST,Color-encoded scatter reveals which departments cluster at high attrition low satisfaction,Bar Chart,Use when average satisfaction per attrition group is sufficient,Pie Chart,Pie charts cannot show continuous relationships between variables,"Ware 2012, Few 2009"
R39,Cross-domain,Multi-KPI Executive Summary,Dashboard Overview,KPI Card Grid,All critical business metrics on single screen,Both,"Sales, Profit, Attrition, Satisfaction",What is overall health of business and workforce?,Low,Executive,Fast,BEST,KPI grid gives C-suite complete business health picture in under 10 seconds,Table,Use when detail and drill-down capability matters more,Charts Only,Charts alone without summary metrics slow executive decision speed,"Few 2006, Kirk 2019"
R40,Cross-domain,Time-based Sales Pattern,Time Pattern,Calendar Heatmap,Day and month sales patterns reveal seasonality,Superstore Sales,"Order Date, Sales",Which days consistently generate highest sales?,Medium,Analyst,Medium,BEST,Calendar heatmaps use spatial memory for time — weekly and seasonal patterns emerge instantly,Line Chart,Use when monthly trend matters more than day-of-week patterns,Bar Chart,Bar charts cannot show two-dimensional time patterns simultaneously,"Ware 2012, Munzner 2014"
R41,Cross-domain,Feature Importance for Attrition,Multi-Variable,Horizontal Bar Chart,Ranked feature importance shows top attrition drivers,HR Attrition,"All Features, Attrition",What are top 3 factors driving attrition?,High,HR Manager,Slow,BEST,Horizontal ranked bars make feature importance immediately scannable from top to bottom,Radar Chart,Use when comparing importance profiles across multiple models,Table,Tables hide the relative magnitude differences between factors,"Few 2009, Munzner 2014"
R42,Cross-domain,Cohort Retention Analysis,Cohort Over Time,Cohort Heatmap,Retention rates across hiring cohorts over time,HR Attrition,"HireMonth, YearsAtCompany, Attrition",Which hiring cohort has worst 2-year retention?,High,HR Manager,Slow,BEST,Cohort heatmaps reveal which employee batches have systematic retention problems,Line Chart,Use when tracking single cohort retention over time,Bar Chart,Bar charts cannot show both cohort and time dimensions simultaneously,"Ware 2012, Few 2009"
R43,Cross-domain,Regional Profit vs Attrition,Dual Dataset Comparison,Side-by-Side Bar,Financial and HR performance compared by region simultaneously,Both,"Region, Profit, AttritionRate",Which regions have both low profit and high attrition?,High,Executive,Slow,BEST,Side-by-side bars enable simultaneous financial and HR health comparison by region,Scatter Plot,Use when correlation between profit and attrition is the focus,Table,Tables make cross-dataset regional comparison much slower,"Few 2009, Kirk 2019"
R44,Cross-domain,Customer Order Frequency,Behavioral Pattern,Histogram with CDF,Order frequency distribution with cumulative percentage,Superstore Sales,"Customer ID, OrderCount",What percentage of customers place more than 5 orders?,Medium,Analyst,Medium,BEST,Histogram with CDF answers both distribution shape and percentage threshold questions,Bar Chart,Use when comparing specific frequency buckets only,Pie Chart,Pie charts cannot show continuous frequency distributions effectively,"Tufte 2001, Munzner 2014"
R45,Cross-domain,Workforce vs Revenue Trend,Dual Metric Time Series,Dual-Axis Line Chart,Two metrics on shared time axis reveals correlation over time,Both,"Month, Revenue, HeadCount",Is revenue growth keeping pace with headcount growth?,High,Executive,Slow,BEST,Dual-axis lines show whether two business metrics move together or diverge over time,Grouped Bar,Use when comparing specific time period values not trends,Scatter Plot,Scatter plots lose the time dimension that makes this comparison meaningful,"Tufte 2001, Few 2009"
